# index, sex, race, grade, school, _pos
461,2,2,9,1,"array([26.05040325,  8.79840121])"
462,2,1,9,1,"array([24.13300291, 10.14228196])"
463,2,1,11,1,"array([22.10792186, 10.37656921])"
464,1,1,11,1,"array([23.69298665,  8.13493209])"
465,2,5,10,1,"array([23.32101564, 11.09078204])"
466,2,1,9,1,"array([25.36893068,  9.70583095])"
467,2,1,10,1,"array([23.31183066,  8.96638006])"
468,2,1,10,1,"array([23.80537139,  8.0979599 ])"
469,1,2,9,1,"array([16.69214552, 11.6506797 ])"
470,2,1,10,1,"array([23.38458031,  7.85502024])"
471,1,1,11,1,"array([22.91933319,  9.78383576])"
472,1,1,12,1,"array([23.18202554,  9.56481543])"
473,2,1,9,1,"array([24.62191557,  9.29004321])"
474,1,2,12,1,"array([27.42962738,  1.796802  ])"
475,1,5,12,1,"array([24.25470053,  9.01153283])"
476,2,2,12,1,"array([25.31297628,  6.63187364])"
477,1,2,9,1,"array([25.7072852 ,  9.75368232])"
478,2,1,10,1,"array([23.46235205,  9.36693801])"
479,2,1,12,1,"array([23.5979508 ,  8.61400455])"
480,0,0,0,1,"array([23.12573048,  7.2846325 ])"
481,1,1,9,1,"array([25.62877214,  9.4740777 ])"
482,1,5,10,1,"array([23.80425329,  9.94055407])"
483,2,1,10,1,"array([24.01826109,  8.28353184])"
484,1,1,9,1,"array([24.26889941, 10.26874913])"
485,2,1,11,1,"array([22.24062966,  9.05990313])"
486,2,1,12,1,"array([22.41016224,  9.7136462 ])"
487,1,1,9,1,"array([24.65075185,  9.97598974])"
488,1,1,11,1,"array([23.17372449,  7.84871665])"
489,2,2,9,1,"array([25.38764757,  9.83727835])"
